time,instrument,granularity,side,price,position_size,equity,drawdown
2025-02-20 08:15:00+00:00,EUR_USD,M15,BUY,1.04395,2500.0,100000.0,0.0
2025-02-21 06:45:00+00:00,EUR_USD,M15,FLAT,1.04887,0.0,100011.77,3.8e-05
2025-02-21 07:00:00+00:00,EUR_USD,M15,BUY,1.04956,2500.29,100011.77,3.8e-05
2025-02-21 13:45:00+00:00,EUR_USD,M15,FLAT,1.04752,0.0,100006.92,8.6e-05
2025-02-24 04:15:00+00:00,EUR_USD,M15,BUY,1.05128,2500.17,100006.92,8.6e-05
2025-02-24 09:15:00+00:00,EUR_USD,M15,FLAT,1.04747,0.0,99997.85,0.000177
2025-02-24 09:30:00+00:00,EUR_USD,M15,BUY,1.04746,2499.95,99997.85,0.000177
2025-02-24 10:15:00+00:00,EUR_USD,M15,FLAT,1.04701,0.0,99996.77,0.000188
2025-02-24 10:45:00+00:00,EUR_USD,M15,BUY,1.04802,2499.92,99996.77,0.000188
2025-02-24 17:00:00+00:00,EUR_USD,M15,FLAT,1.04756,0.0,99995.68,0.000198
2025-02-25 11:30:00+00:00,EUR_USD,M15,BUY,1.04861,2499.89,99995.68,0.000198
2025-02-25 13:30:00+00:00,EUR_USD,M15,FLAT,1.0508,0.0,100000.9,0.000146
2025-02-25 13:45:00+00:00,EUR_USD,M15,BUY,1.05002,2500.02,100000.9,0.000146
2025-02-26 03:15:00+00:00,EUR_USD,M15,FLAT,1.05032,0.0,100001.63,0.000139
2025-02-26 06:30:00+00:00,EUR_USD,M15,BUY,1.04941,2500.04,100001.63,0.000139
2025-02-26 11:45:00+00:00,EUR_USD,M15,FLAT,1.04917,0.0,100001.06,0.000145
2025-02-28 17:00:00+00:00,EUR_USD,M15,BUY,1.04096,2500.03,100001.06,0.000145
2025-02-28 20:30:00+00:00,EUR_USD,M15,FLAT,1.03676,0.0,99990.96,0.000246
2025-02-28 20:45:00+00:00,EUR_USD,M15,BUY,1.0375,2499.77,99990.96,0.000246
2025-03-02 22:15:00+00:00,EUR_USD,M15,FLAT,1.04026,0.0,99997.61,0.000179
2025-03-03 00:45:00+00:00,EUR_USD,M15,BUY,1.04095,2499.94,99997.61,0.000179
2025-03-03 01:15:00+00:00,EUR_USD,M15,FLAT,1.04198,0.0,100000.08,0.000154
2025-03-03 01:30:00+00:00,EUR_USD,M15,BUY,1.04181,2500.0,100000.08,0.000154
2025-03-03 08:15:00+00:00,EUR_USD,M15,FLAT,1.03964,0.0,99994.87,0.000207
2025-03-03 08:45:00+00:00,EUR_USD,M15,BUY,1.04012,2499.87,99994.87,0.000207
2025-03-03 11:45:00+00:00,EUR_USD,M15,FLAT,1.04526,0.0,100007.2,8.3e-05
2025-03-03 13:15:00+00:00,EUR_USD,M15,BUY,1.04684,2500.18,100007.2,8.3e-05
2025-03-03 19:45:00+00:00,EUR_USD,M15,FLAT,1.0473,0.0,100008.32,7.2e-05
