time,strategy,instrument,granularity,side,price,position_size,equity,drawdown,pnl
2024-01-29 20:00:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SELL_SHORT,1.27066,2000.0,100000.0,0.0,0.0
2024-01-29 20:15:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SL_EXIT_SHORT,1.2715707142857142,0.0,99998.57,0.0,-1.43
2024-01-29 20:15:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SELL_SHORT,1.2713,1499.98,99998.57,0.0,0.0
2024-01-30 07:00:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,TP1_SHORT,1.26865841942945,749.99,100000.12,0.0,1.56
2024-01-30 08:15:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,TIME_EXIT,1.26888,0.0,100001.55,0.0,1.43
2024-01-30 15:00:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,BUY,1.2646,2000.03,100001.55,0.0,0.0
2024-01-30 16:45:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,TP1_LONG,1.26773394492445,1000.02,100004.03,0.0,2.48
2024-01-30 17:00:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,TP2_LONG,1.26880053894136,300.0,100006.36,0.0,2.33
2024-01-30 17:45:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,TRAIL_SL_LONG,1.2679964285714287,0.0,100007.16,0.0,0.81
2024-01-30 19:30:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SELL_SHORT,1.26944,1500.11,100007.16,0.0,0.0
2024-01-31 02:15:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,TP1_SHORT,1.26757658833847,750.05,100008.26,0.0,1.1
2024-01-31 07:30:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,TIME_EXIT,1.26752,0.0,100009.4,0.0,1.13
2024-01-31 13:30:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SELL_SHORT,1.27036,1500.14,100009.4,0.0,0.0
2024-01-31 14:00:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SL_EXIT_SHORT,1.2715310714285712,0.0,100008.01,0.0,-1.38
2024-01-31 14:00:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SELL_SHORT,1.27208,2000.16,100008.01,0.0,0.0
2024-01-31 14:45:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SL_EXIT_SHORT,1.2734750000000001,0.0,100005.82,0.0,-2.19
2024-01-31 14:45:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SELL_SHORT,1.2739,1500.09,100005.82,0.0,0.0
2024-01-31 19:00:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,TP1_SHORT,1.26958377699219,750.04,100008.36,0.0,2.54
2024-01-31 19:45:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SL_EXIT_SHORT,1.2739,0.0,100008.36,0.0,0.0
2024-02-01 05:45:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,BUY,1.2668,1500.13,100008.36,0.0,0.0
2024-02-01 06:45:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,SL_EXIT_LONG,1.266098214285714,0.0,100007.53,0.0,-0.83
2024-02-01 06:45:00+00:00,S2_Session_VWAP_Reversal,GBP_USD,M15,BUY,1.26632,1500.11,100007.53,0.0,0.0
